target_label	feature_family_id	row_count	dominant_classification	classification_counts	median_linear_baseline_subtracted_pct	median_asls_baseline_subtracted_pct	median_asls_vs_linear_pct	max_asls_vs_linear_pct	median_linear_edge_delta_pct	median_outside_background_pct	review_status	plot_path
15N5-8-oxodG	FAM000538	8	linear_edge_over_subtraction_plausible	linear_edge_over_subtraction_plausible:8	9.68265	0.297963	9.95018	41.7365	8.28001	0	linear_edge_over_subtraction_plausible	plots/15N5-8-oxodG__FAM000538.png
d3-5-hmdC	FAM000153	8	linear_edge_over_subtraction_plausible	linear_edge_over_subtraction_plausible:6;methods_similar:2	8.85423	0.264858	9.4024	26.4931	6.01194	0	linear_edge_over_subtraction_plausible	plots/d3-5-hmdC__FAM000153.png
d3-5-medC	FAM000031	8	linear_edge_over_subtraction_plausible	linear_edge_over_subtraction_plausible:8	15.6723	0.239676	18.3366	36.3731	10.2258	0	linear_edge_over_subtraction_plausible	plots/d3-5-medC__FAM000031.png
d3-N6-medA	FAM000242	8	linear_edge_over_subtraction_plausible	linear_edge_over_subtraction_plausible:8	17.7809	0.460796	21.0723	28.9706	13.5894	0.395521	linear_edge_over_subtraction_plausible	plots/d3-N6-medA__FAM000242.png
d3-dG-C8-MeIQx	FAM001878	8	linear_edge_over_subtraction_plausible	linear_edge_over_subtraction_plausible:8	16.6737	0.365767	19.5615	31.7657	12.3753	0	linear_edge_over_subtraction_plausible	plots/d3-dG-C8-MeIQx__FAM001878.png
d4-N6-2HE-dA	FAM000807	8	linear_edge_over_subtraction_plausible	linear_edge_over_subtraction_plausible:8	7.52874	0.334466	7.78029	17.2492	6.675	0	linear_edge_over_subtraction_plausible	plots/d4-N6-2HE-dA__FAM000807.png
