sample_stem,group,gt_target_rt_min,gt_target_confidence,gt_peak_start_min,gt_peak_end_min,family_count_total,family_ids_all,production_family_ids,duplicate_family_ids,production_family_count_in_gt_window,production_family_ids_in_gt_window,closest_family_id,closest_family_mz,closest_status,closest_apex_rt_min,closest_rt_delta_sec,failure_mode
BenignfatBC1055_DNA,Benignfat,12.6420,HIGH,12.4352,12.8071,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,12.6420,0.00,PASS
BenignfatBC1151_DNA,Benignfat,12.6673,HIGH,12.4619,12.8320,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,12.6673,0.00,PASS
Breast_Cancer_Tissue_pooled_QC3,QC,12.1813,HIGH,12.0570,12.2639,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,12.1813,0.00,PASS
Breast_Cancer_Tissue_pooled_QC5,QC,12.4051,HIGH,12.1980,12.5698,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,12.4051,0.00,PASS
NormalBC2263_DNA,Normal,12.6797,HIGH,12.5137,12.8454,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,rescued,12.6797,0.00,PASS
NormalBC2312_DNA,Normal,12.6515,VERY_LOW,12.4578,12.8154,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,12.6515,0.00,PASS
TumorBC2263_DNA,Tumor,11.5674,MEDIUM,11.4844,11.6502,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,11.5674,0.00,PASS
TumorBC2312_DNA,Tumor,12.1866,HIGH,12.1038,12.3468,8,FAM000001;FAM000002;FAM000003;FAM000004;FAM000005;FAM000006;FAM000007;FAM002329,FAM000003,FAM000001;FAM000002;FAM000004;FAM000005;FAM000006;FAM000007,1,FAM000003,FAM000003,242.114,detected,12.1866,0.00,PASS
