scope	old_alignment_review	new_alignment_review	old_rows	new_rows	old_primary_rows	new_primary_rows	delta_rows	include_promoted_rows	include_demoted_rows	supported_backfill_capped_primary_rows	hard_gate_candidate_primary_rows	delta_tsv	delta_sha256
8RAW	output\product_priority_reset_phase1\alignment_8raw_primary_delivery_fix\alignment_review.tsv	output\product_priority_reset_phase1b\alignment_8raw_scan_support_fix\alignment_review.tsv	2395	2395	282	323	80	43	2	54	0	docs\superpowers\fixtures\diagnostic_ledger_2026_05_28\phase1b_8raw_policy_delta.tsv	A889FEEE29682A12E274B273EF0DEC45BACCD7CBB6166D2BB97A55C6025083C3
85RAW	output\product_priority_reset_phase1\alignment_85raw_primary_delivery_fix\alignment_review.tsv	output\product_priority_reset_phase1b\alignment_85raw_scan_support_fix\alignment_review.tsv	21812	21812	597	610	96	17	4	18	0	docs\superpowers\fixtures\diagnostic_ledger_2026_05_28\phase1b_85raw_policy_delta.tsv	EAA72BD296B4DBA270349583EEB799A9D2C98CC2BB32421D5317CF9C92CD70B2
