sample	label	target_mz	target_rt_min	target_rt_max	candidate_count	candidate_ids	direct_cell_count	direct_cells	winner_family_ids	winner_cells	near_target_cell_count	near_target_cells
BenignfatBC1151_DNA	d3-5-hmdC	261.127276	7.97	9.97	3	BenignfatBC1151_DNA#5012;BenignfatBC1151_DNA#5314;BenignfatBC1151_DNA#5504	3	FAM000162:detected:BenignfatBC1151_DNA#5314:9.0256;FAM000165:detected:BenignfatBC1151_DNA#5314:9.0256;FAM000170:duplicate_assigned:BenignfatBC1151_DNA#5012:8.61113	FAM000162	FAM000162:detected:BenignfatBC1151_DNA#5314:9.0256	13	FAM000159:duplicate_assigned::9.0256;FAM000160:duplicate_assigned::8.61113;FAM000161:duplicate_assigned::8.61113;FAM000162:detected:BenignfatBC1151_DNA#5314:9.0256;FAM000163:duplicate_assigned::8.61113;FAM000164:duplicate_assigned::9.0256;FAM000165:detected:BenignfatBC1151_DNA#5314:9.0256;FAM000166:duplicate_assigned::9.0256;FAM000167:duplicate_assigned::9.0256;FAM000168:duplicate_assigned::9.0256;FAM000169:duplicate_assigned::8.61113;FAM000170:duplicate_assigned:BenignfatBC1151_DNA#5012:8.61113
BenignfatBC1055_DNA	d3-5-medC	245.132362	11.44	13.44	3	BenignfatBC1055_DNA#9347;BenignfatBC1055_DNA#9537;BenignfatBC1055_DNA#9727	2	FAM000030:detected:BenignfatBC1055_DNA#9537:12.5593;FAM000031:detected:BenignfatBC1055_DNA#9537:12.5593			7	FAM000026:duplicate_assigned::12.5593;FAM000027:duplicate_assigned::12.5593;FAM000028:duplicate_assigned::12.5593;FAM000029:duplicate_assigned::12.5593;FAM000030:detected:BenignfatBC1055_DNA#9537:12.5593;FAM000031:detected:BenignfatBC1055_DNA#9537:12.5593;FAM000032:duplicate_assigned::12.5593
BenignfatBC1055_DNA	15N5-8-oxodG	289.0841	15.21	17.21	2	BenignfatBC1055_DNA#12921;BenignfatBC1055_DNA#13111	2	FAM000563:detected:BenignfatBC1055_DNA#13111:16.4283;FAM000564:duplicate_assigned:BenignfatBC1055_DNA#13111:16.4283	FAM000563	FAM000563:detected:BenignfatBC1055_DNA#13111:16.4283	6	FAM000562:duplicate_assigned::16.4283;FAM000563:detected:BenignfatBC1055_DNA#13111:16.4283;FAM000564:duplicate_assigned:BenignfatBC1055_DNA#13111:16.4283;FAM000565:duplicate_assigned::16.4283;FAM000566:duplicate_assigned::16.4283;FAM000567:duplicate_assigned::16.4283
TumorBC2312_DNA	d3-N6-medA	269.1436	25.25	27.25	7	TumorBC2312_DNA#21195;TumorBC2312_DNA#21575;TumorBC2312_DNA#21765;TumorBC2312_DNA#21955;TumorBC2312_DNA#22137;TumorBC2312_DNA#22516;TumorBC2312_DNA#22972	2	FAM000257:detected:TumorBC2312_DNA#22972:27.1247;FAM000271:detected:TumorBC2312_DNA#22516:26.6671			21	FAM000254:duplicate_assigned::25.4204;FAM000255:duplicate_assigned::25.4204;FAM000256:duplicate_assigned::25.4204;FAM000257:detected:TumorBC2312_DNA#22972:27.1247;FAM000258:duplicate_assigned::25.4204;FAM000260:duplicate_assigned::25.4204;FAM000261:duplicate_assigned::25.4204;FAM000262:duplicate_assigned::25.4204;FAM000263:duplicate_assigned::25.4204;FAM000264:rescued::25.4204;FAM000265:duplicate_assigned::25.4204;FAM000266:duplicate_assigned::25.4204
NormalBC2263_DNA	d3-dG-C8-MeIQx	482.208679	39.5	41.5	2	NormalBC2263_DNA#35245;NormalBC2263_DNA#35882	2	FAM001799:duplicate_assigned:NormalBC2263_DNA#35245:40.6203;FAM001807:detected:NormalBC2263_DNA#35245:40.6203	FAM001803	FAM001803:rescued::40.6203	21	FAM001798:duplicate_assigned::40.6203;FAM001799:duplicate_assigned:NormalBC2263_DNA#35245:40.6203;FAM001800:duplicate_assigned::40.6203;FAM001801:duplicate_assigned::40.6203;FAM001802:duplicate_assigned::40.6203;FAM001803:rescued::40.6203;FAM001804:duplicate_assigned::40.6203;FAM001805:duplicate_assigned::40.6203;FAM001806:duplicate_assigned::40.6203;FAM001807:detected:NormalBC2263_DNA#35245:40.6203;FAM001808:duplicate_assigned::40.6203;FAM001809:duplicate_assigned::40.6203
NormalBC2312_DNA	15N5-8-oxodG	289.0841	15.21	17.21	1	NormalBC2312_DNA#13242	1	FAM000563:detected:NormalBC2312_DNA#13242:16.5806			6	FAM000562:duplicate_assigned::16.5806;FAM000563:detected:NormalBC2312_DNA#13242:16.5806;FAM000564:duplicate_assigned::16.5806;FAM000565:duplicate_assigned::16.5806;FAM000566:duplicate_assigned::16.5806;FAM000567:duplicate_assigned::16.5806
NormalBC2312_DNA	d3-N6-medA	269.1436	25.25	27.25	3	NormalBC2312_DNA#21724;NormalBC2312_DNA#22176;NormalBC2312_DNA#22370	4	FAM000262:detected:NormalBC2312_DNA#21724:25.9826;FAM000264:detected:NormalBC2312_DNA#22176:26.232;FAM000265:detected:NormalBC2312_DNA#22176:26.232;FAM000270:detected:NormalBC2312_DNA#22370:26.5741			22	FAM000254:duplicate_assigned::25.8964;FAM000255:duplicate_assigned::26.1492;FAM000256:duplicate_assigned::26.1492;FAM000257:duplicate_assigned::26.1492;FAM000258:duplicate_assigned::26.1492;FAM000259:duplicate_assigned::26.1492;FAM000260:duplicate_assigned::25.8964;FAM000261:rescued::25.8964;FAM000262:detected:NormalBC2312_DNA#21724:25.9826;FAM000263:duplicate_assigned::26.1492;FAM000264:detected:NormalBC2312_DNA#22176:26.232;FAM000265:detected:NormalBC2312_DNA#22176:26.232
