feature_family_id	sample_stem	status	area	apex_rt	peak_start_rt	peak_end_rt	neutral_loss_tag	family_center_mz	family_center_rt	area_baseline_corrected	area_uncertainty	area_uncertainty_formula_version	baseline_residual_mad	area_uncertainty_noise_source	baseline_type	baseline_score	uncertainty_fraction	baseline_fraction	integration_scan_count	area_baseline_corrected_asls	baseline_score_asls
FAM000026	BenignfatBC1151_DNA	duplicate_assigned	1.92416e+07	15.2659	15.0173	15.8042	DNA_dR	245.114	15.3197	1.67892e+07	218782	baseline_residual_mad_v1	19708.1	asls_residual	linear_edge	0.872548	0.0113703	0.872548	20	1.86746e+07	0.970535
FAM000026	Breast_Cancer_Tissue_pooled_QC3	duplicate_assigned	1.45163e+07	15.1317	14.6555	15.3797	DNA_dR	245.114	15.3197	1.41391e+07	103537	baseline_residual_mad_v1	9569.23	asls_residual	linear_edge	0.974019	0.00713249	0.974019	19	1.43418e+07	0.987981
FAM000026	Breast_Cancer_Tissue_pooled_QC5	duplicate_assigned	1.29198e+07	15.1272	14.6086	15.2918	DNA_dR	245.114	15.3197	7.51047e+06	35727.6	baseline_residual_mad_v1	5947.2	asls_residual	linear_edge	0.581314	0.00276533	0.581314	18	1.27597e+07	0.987606
FAM000026	NormalBC2263_DNA	duplicate_assigned	2.16969e+07	15.4014	13.6334	15.6501	DNA_dR	245.114	15.3197	2.16969e+07	167238	baseline_residual_mad_v1	9514	asls_residual	linear_edge	1	0.00770791	1	50	2.14107e+07	0.98681
FAM000026	NormalBC2312_DNA	duplicate_assigned	2.48671e+07	15.4039	14.8409	15.9797	DNA_dR	245.114	15.3197	2.37713e+07	61603.1	baseline_residual_mad_v1	5529.12	asls_residual	linear_edge	0.955937	0.0024773	0.955937	42	2.36635e+07	0.951601
FAM000026	TumorBC2263_DNA	duplicate_assigned	2.89872e+06	15.3197	15.1126	16.0238	DNA_dR	245.114	15.3197	1.02933e+06	150987	baseline_residual_mad_v1	12705.1	asls_residual	linear_edge	0.355097	0.0520876	0.355097	23	2.73096e+06	0.942127
FAM000026	TumorBC2312_DNA	duplicate_assigned	1.91562e+07	15.2557	14.9648	15.415	DNA_dR	245.114	15.3197	1.53761e+07	11660.7	baseline_residual_mad_v1	3454.56	asls_residual	linear_edge	0.802672	0.000608717	0.802672	12	1.89946e+07	0.991563
FAM000027	BenignfatBC1055_DNA	duplicate_assigned	2.15938e+07	12.5593	12.3527	12.6833	DNA_dR	245.133	11.4844	1.80819e+07	11774.4	baseline_residual_mad_v1	1587.02	asls_residual	linear_edge	0.837366	0.00054527	0.837366	9	2.15433e+07	0.997661
FAM000027	BenignfatBC1151_DNA	duplicate_assigned	2.03189e+07	12.5433	12.3868	12.7496	DNA_dR	245.133	11.4844	1.74813e+07	12172.1	baseline_residual_mad_v1	1560.12	asls_residual	linear_edge	0.860343	0.000599054	0.860343	10	2.02648e+07	0.997338
FAM000027	Breast_Cancer_Tissue_pooled_QC3	duplicate_assigned	2.06837e+07	12.0984	12.0154	12.2225	DNA_dR	245.133	11.4844	1.74056e+07	7613.97	baseline_residual_mad_v1	1256.68	asls_residual	linear_edge	0.841513	0.000368115	0.841513	6	2.06566e+07	0.99869
